map_name,step,robot_r,robot_c,prev_action,observed_nodes,observed_edges,frontier_count,visited_count,teacher_action,best_reward_action,reward_forward,reward_right,reward_down,reward_left,reward_stop,patch_0,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9,patch_10,patch_11,patch_12,patch_13,patch_14,patch_15,patch_16,patch_17,patch_18,patch_19,patch_20,patch_21,patch_22,patch_23,patch_24
train_005,13,9,8,1,53,144,15,13,0,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
train_005,14,8,8,0,57,154,18,14,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_005,15,8,9,1,62,170,20,15,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
train_005,16,8,10,1,66,184,20,16,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
train_005,17,7,10,0,71,200,22,17,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_005,18,7,11,1,75,212,23,18,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_005,19,7,12,1,80,228,21,19,1,4,0.48,0.48,0.48,-0.42000000000000004,10.0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
train_005,20,7,13,1,80,228,21,20,1,4,-3.0,0.48,0.48,-0.42000000000000004,10.0,0,0,0,0,-1,0,0,1,2,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1
train_005,21,7,14,1,80,228,21,21,0,0,10.48,-3.0,0.48,-0.42000000000000004,10.0,0,0,0,-1,-1,0,1,2,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1
train_006,0,14,0,4,7,12,4,0,0,0,0.48,0.48,-3.0,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,1,1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
train_006,1,13,0,0,10,22,5,1,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1,-1,-1,0,0,0,-1,-1,-1,-1,-1
train_006,2,12,0,0,13,32,5,2,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1,-1,-1,0,0,0
train_006,3,11,0,0,15,38,5,3,1,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,1,1
train_006,4,11,1,1,20,52,7,4,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,-1,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,1,1,0
train_006,5,11,2,1,24,66,7,5,1,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
train_006,6,11,3,1,28,76,9,6,1,4,0.48,0.48,0.48,-0.42000000000000004,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0
train_006,7,11,4,1,32,86,11,7,1,1,0.48,10.48,0.48,-0.42000000000000004,10.0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0
train_007,0,14,0,4,7,12,3,0,0,0,0.48,0.48,-3.0,-3.0,-0.5,-1,-1,0,0,1,-1,-1,0,1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
train_007,1,13,0,0,9,14,3,1,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,-1,-1,0,1,0,-1,-1,0,0,1,-1,-1,0,1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1
train_007,2,12,0,0,11,18,4,2,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,1,-1,-1,0,1,0,-1,-1,0,0,1,-1,-1,0,1,0,-1,-1,0,0,0
train_007,3,11,0,0,14,26,5,3,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,1,-1,-1,0,1,0,-1,-1,0,0,1,-1,-1,0,1,0
train_007,4,10,0,0,16,32,5,4,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,1,-1,-1,0,1,0,-1,-1,0,0,1
train_007,5,9,0,0,18,34,5,5,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,1,0,-1,-1,1,0,0,-1,-1,0,0,0,-1,-1,0,0,1,-1,-1,0,1,0
train_007,6,9,1,1,22,46,6,6,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,-1,0,1,0,0,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,1,0,-1,0,1,0,1
train_007,7,8,1,0,24,48,8,7,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,1,0,1,0,-1,0,1,0,0,-1,1,0,0,0,-1,0,0,0,0,-1,0,0,1,0
train_007,8,8,2,1,28,62,7,8,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
train_007,9,7,2,0,31,70,8,9,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_007,10,7,3,1,34,78,8,10,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
train_007,11,6,3,0,38,90,7,11,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
train_007,12,5,3,0,41,96,8,12,0,4,0.48,0.48,-0.42000000000000004,-3.0,10.0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
train_007,13,4,3,0,45,104,10,13,0,0,10.48,0.48,-0.42000000000000004,-3.0,10.0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
train_008,0,14,0,4,9,24,5,0,0,0,0.48,0.48,-3.0,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
