map_name,step,robot_r,robot_c,prev_action,observed_nodes,observed_edges,frontier_count,visited_count,teacher_action,best_reward_action,reward_forward,reward_right,reward_down,reward_left,reward_stop,patch_0,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9,patch_10,patch_11,patch_12,patch_13,patch_14,patch_15,patch_16,patch_17,patch_18,patch_19,patch_20,patch_21,patch_22,patch_23,patch_24
unseen_007,11,10,3,3,44,120,10,11,3,2,-3.0,-0.42000000000000004,0.48,0.48,-0.5,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
unseen_007,12,10,2,3,46,124,9,12,0,0,0.48,-0.42000000000000004,-3.0,0.48,-0.5,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0
unseen_007,13,9,2,0,49,132,8,13,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1
unseen_007,14,8,2,0,51,136,9,14,0,0,0.48,-3.0,-0.42000000000000004,0.48,-0.5,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
unseen_007,15,7,2,0,55,144,12,15,3,1,-3.0,0.48,-0.42000000000000004,0.48,-0.5,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
unseen_007,16,7,1,3,55,144,12,16,0,0,0.48,-0.42000000000000004,0.48,-3.0,-0.5,-1,0,0,0,1,-1,0,0,1,1,-1,1,0,0,0,-1,0,0,0,1,-1,0,1,0,1
unseen_007,17,6,1,0,59,156,13,17,0,0,0.48,-3.0,-0.42000000000000004,0.48,-0.5,-1,0,0,0,0,-1,0,0,0,1,-1,0,0,1,1,-1,1,0,0,0,-1,0,0,0,1
unseen_007,18,5,1,0,62,164,13,18,0,4,0.48,0.48,-0.42000000000000004,0.48,10.0,-1,2,0,1,0,-1,0,0,0,0,-1,0,0,0,1,-1,0,0,1,1,-1,1,0,0,0
unseen_007,19,4,1,0,66,176,13,19,0,4,0.48,0.48,-0.42000000000000004,0.48,10.0,-1,0,0,0,0,-1,2,0,1,0,-1,0,0,0,0,-1,0,0,0,1,-1,0,0,1,1
unseen_007,20,3,1,0,68,180,11,20,3,3,0.48,-3.0,-0.42000000000000004,10.48,10.0,-1,1,0,1,0,-1,0,0,0,0,-1,2,0,1,0,-1,0,0,0,0,-1,0,0,0,1
unseen_008,0,14,0,4,5,6,3,0,1,1,-3.0,0.48,-3.0,-3.0,-0.5,-1,-1,1,0,1,-1,-1,1,1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_008,1,14,1,1,8,14,3,1,1,1,-3.0,0.48,-3.0,-0.42000000000000004,-0.5,-1,1,0,1,0,-1,1,1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_008,2,14,2,1,10,18,2,2,1,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_008,3,14,3,1,12,22,3,3,1,4,0.48,0.48,-3.0,-0.42000000000000004,10.0,0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_008,4,14,4,1,14,28,3,4,1,4,-3.0,0.48,-3.0,-0.42000000000000004,10.0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_008,5,14,5,1,16,34,3,5,0,0,10.48,0.48,-3.0,-0.42000000000000004,10.0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_009,0,14,0,4,7,12,3,0,0,0,0.48,0.48,-3.0,-3.0,-0.5,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
unseen_009,1,13,0,0,8,14,3,1,0,0,0.48,-3.0,-0.42000000000000004,-3.0,-0.5,-1,-1,1,0,1,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,0,1,-1,-1,-1,-1,-1
unseen_009,2,12,0,0,10,18,3,2,1,1,-3.0,0.48,-0.42000000000000004,-3.0,-0.5,-1,-1,0,0,1,-1,-1,1,0,1,-1,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,0,1
unseen_009,3,12,1,1,15,30,7,3,1,0,0.48,0.48,-3.0,-0.42000000000000004,-0.5,-1,0,0,1,0,-1,1,0,1,0,-1,0,0,0,0,-1,0,1,0,0,-1,0,0,1,0
unseen_009,4,12,2,1,20,48,8,4,1,1,-3.0,0.48,0.48,-0.42000000000000004,-0.5,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
unseen_009,5,12,3,1,25,66,8,5,0,0,0.48,0.48,0.48,-0.42000000000000004,-0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
unseen_009,6,11,3,0,28,76,8,6,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
unseen_009,7,10,3,0,32,88,9,7,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
unseen_009,8,9,3,0,36,100,10,8,0,0,0.48,0.48,-0.42000000000000004,-3.0,-0.5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
