timestamp,current_x,current_y,goal_x,goal_y,dir_x,dir_y,distance_to_goal,vision_mean,vision_dark,vision_edge,front_clear,left_clear,right_clear,min_range,predicted_action
1778052192.664338,-0.022818,-2.455864,2.000000,2.000000,0.936664,0.350229,4.893517,0.506177,0.425277,0.012373,0.253083,0.223241,1.000000,0.223241,2
1778052192.864377,-0.020208,-2.459210,2.000000,2.000000,0.926879,0.375361,4.895487,0.504013,0.428438,0.012288,0.255974,0.046603,1.000000,0.046603,2
1778052193.067718,-0.020135,-2.459960,2.000000,2.000000,0.875755,0.482756,4.896140,0.566309,0.341820,0.013454,0.268225,0.043330,1.000000,0.043330,2
1778052193.271303,-0.020276,-2.459976,2.000000,2.000000,0.828495,0.559996,4.896213,0.617173,0.271185,0.014391,0.664920,0.046944,1.000000,0.046944,2
1778052193.464422,-0.021502,-2.460123,2.000000,2.000000,0.778959,0.627075,4.896853,0.651974,0.223105,0.014518,0.634363,0.041209,1.000000,0.041209,2
1778052193.664397,-0.024235,-2.456743,2.000000,2.000000,0.789290,0.614021,4.894904,0.652669,0.222054,0.014391,0.639644,0.222328,1.000000,0.049004,2
1778052193.864336,-0.025069,-2.456028,2.000000,2.000000,0.853619,0.520898,4.894598,0.614451,0.275007,0.014300,0.679843,0.224284,1.000000,0.224284,2
1778052194.064694,-0.024885,-2.455935,2.000000,2.000000,0.905194,0.424998,4.894437,0.555104,0.357259,0.013262,0.268917,0.224202,1.000000,0.224202,2
1778052194.277826,-0.023759,-2.456884,2.000000,2.000000,0.935305,0.353844,4.894836,0.507356,0.423678,0.012367,0.252743,0.227631,1.000000,0.227631,2
1778052194.464451,-0.019944,-2.460891,2.000000,2.000000,0.923346,0.383969,4.896910,0.508369,0.422360,0.012415,0.259306,0.227870,1.000000,0.227870,2
1778052194.664306,-0.020023,-2.461328,2.000000,2.000000,0.870764,0.491701,4.897340,0.565314,0.343167,0.013457,0.270519,0.043237,1.000000,0.043237,2
1778052194.864326,-0.020156,-2.461371,2.000000,2.000000,0.812667,0.582728,4.897434,0.618416,0.269521,0.014499,0.660405,0.044022,1.000000,0.044022,2
1778052195.064437,-0.021257,-2.461299,2.000000,2.000000,0.770465,0.637483,4.897823,0.654402,0.219697,0.014466,0.627365,0.224251,1.000000,0.224251,2
1778052195.264474,-0.023750,-2.457564,2.000000,2.000000,0.777533,0.628842,4.895451,0.655639,0.218021,0.014447,0.629909,0.222519,1.000000,0.046573,2
1778052195.470257,-0.024843,-2.456651,2.000000,2.000000,0.841779,0.539822,4.895072,0.620970,0.265905,0.014411,0.671605,0.222442,1.000000,0.222442,2
1778052195.664357,-0.024661,-2.456495,2.000000,2.000000,0.895836,0.444384,4.894854,0.564383,0.344398,0.013454,0.269491,0.227477,1.000000,0.227477,2
1778052195.864408,-0.023839,-2.457360,2.000000,2.000000,0.927851,0.372952,4.895302,0.519229,0.407100,0.012552,0.255092,0.225576,1.000000,0.225576,2
1778052196.065954,-0.020214,-2.460862,2.000000,2.000000,0.915809,0.401614,4.896995,0.524175,0.400387,0.012725,0.260052,0.227796,1.000000,0.227796,2
1778052196.264368,-0.020077,-2.461231,2.000000,2.000000,0.861086,0.508460,4.897274,0.572374,0.333376,0.013545,0.272866,0.040235,1.000000,0.040235,2
1778052196.464360,-0.020304,-2.461272,2.000000,2.000000,0.811504,0.584347,4.897405,0.626837,0.257812,0.014632,0.652884,0.038841,1.000000,0.038841,2
1778052196.664376,-0.020569,-2.460452,2.000000,2.000000,0.771793,0.635874,4.896768,0.654582,0.219469,0.014372,0.627150,0.218273,1.000000,0.218273,2
1778052196.864384,-0.023115,-2.457386,2.000000,2.000000,0.796615,0.604487,4.895027,0.652131,0.222790,0.014466,0.641394,0.223605,1.000000,0.047056,2
1778052197.064410,-0.023061,-2.457340,2.000000,2.000000,0.864172,0.503196,4.894962,0.599320,0.296051,0.014046,0.277752,0.221678,1.000000,0.221678,2
1778052197.265330,-0.022648,-2.457901,2.000000,2.000000,0.890221,0.455529,4.895302,0.561387,0.348512,0.013324,0.269997,0.226166,1.000000,0.040836,2
1778052197.464377,-0.020298,-2.460844,2.000000,2.000000,0.864073,0.503366,4.897013,0.579953,0.322952,0.013675,0.278126,0.041639,1.000000,0.041639,2
1778052197.664359,-0.020708,-2.460720,2.000000,2.000000,0.795975,0.605330,4.897069,0.635365,0.245937,0.014769,0.650519,0.044931,1.000000,0.044931,2
1778052197.864371,-0.021401,-2.459889,2.000000,2.000000,0.756564,0.653919,4.896598,0.657206,0.215885,0.014434,0.619977,0.046843,1.000000,0.046843,2
1778052198.064343,-0.024560,-2.456767,2.000000,2.000000,0.781452,0.623965,4.895060,0.655018,0.218887,0.014395,0.626543,0.220372,1.000000,0.220372,2
1778052198.265144,-0.024487,-2.456553,2.000000,2.000000,0.841348,0.540494,4.894835,0.618195,0.269740,0.014466,0.669405,0.225386,1.000000,0.040862,2
1778052198.464562,-0.024313,-2.456423,2.000000,2.000000,0.894820,0.446428,4.894645,0.574757,0.330036,0.013477,0.265728,0.224356,1.000000,0.046551,2
1778052198.664443,-0.023137,-2.456988,2.000000,2.000000,0.926646,0.375935,4.894673,0.521419,0.404079,0.012692,0.254973,0.226738,1.000000,0.226738,2
1778052198.865316,-0.020583,-2.461322,2.000000,2.000000,0.914175,0.405321,4.897565,0.527339,0.396055,0.012780,0.260068,0.227709,1.000000,0.227709,2
1778052199.064432,-0.020528,-2.461684,2.000000,2.000000,0.858769,0.512362,4.897873,0.574380,0.330573,0.013604,0.278105,0.048667,1.000000,0.048667,2
1778052199.264396,-0.020719,-2.461748,2.000000,2.000000,0.798194,0.602400,4.898010,0.629842,0.253737,0.014632,0.652515,0.040402,1.000000,0.040402,2
1778052199.473860,-0.022169,-2.461673,2.000000,2.000000,0.754182,0.656666,4.898540,0.657869,0.214928,0.014417,0.623253,0.220343,1.000000,0.220343,2
1778052199.671741,-0.024753,-2.459087,2.000000,2.000000,0.767104,0.641523,4.897252,0.656523,0.216846,0.014395,0.632264,0.223147,1.000000,0.044604,2
1778052199.873496,-0.025804,-2.458414,2.000000,2.000000,0.833839,0.552007,4.897074,0.616235,0.272471,0.014326,0.664442,0.223983,1.000000,0.223983,2
1778052200.064661,-0.025616,-2.458367,2.000000,2.000000,0.888542,0.458794,4.896954,0.570302,0.336266,0.013467,0.274083,0.224617,1.000000,0.224617,2
1778052200.268374,-0.025215,-2.459066,2.000000,2.000000,0.922889,0.385067,4.897424,0.528052,0.395016,0.012760,0.262302,0.226973,1.000000,0.049092,2
1778052200.464637,-0.021347,-2.461679,2.000000,2.000000,0.912483,0.409114,4.898206,0.524925,0.399434,0.012611,0.260952,0.047851,1.000000,0.047851,2
1778052200.668688,-0.021222,-2.462225,2.000000,2.000000,0.857422,0.514613,4.898651,0.587014,0.313184,0.013828,0.279304,0.049922,1.000000,0.049922,2
1778052200.865125,-0.021391,-2.462295,2.000000,2.000000,0.796704,0.604369,4.898785,0.632656,0.249753,0.014648,0.647584,0.043945,1.000000,0.043945,2
1778052201.067258,-0.021303,-2.461398,2.000000,2.000000,0.755264,0.655421,4.897932,0.658090,0.214596,0.014495,0.623581,0.042720,1.000000,0.042720,2
1778052201.264512,-0.024421,-2.457469,2.000000,2.000000,0.772848,0.634591,4.895642,0.656924,0.216328,0.014460,0.630614,0.222930,1.000000,0.222930,2
1778052201.464618,-0.024572,-2.457123,2.000000,2.000000,0.832208,0.554463,4.895390,0.626438,0.258278,0.014570,0.662265,0.221159,1.000000,0.044197,2
1778052201.664474,-0.024395,-2.457036,2.000000,2.000000,0.887819,0.460193,4.895237,0.573134,0.332357,0.013535,0.270303,0.224302,1.000000,0.044492,2
1778052201.864488,-0.023521,-2.458148,2.000000,2.000000,0.920773,0.390098,4.895888,0.527825,0.395205,0.012715,0.257702,0.225250,1.000000,0.225250,2
1778052202.064483,-0.020582,-2.462593,2.000000,2.000000,0.907672,0.419680,4.898724,0.536418,0.383382,0.012848,0.262003,0.229099,1.000000,0.229099,2
1778052202.264578,-0.020655,-2.463084,2.000000,2.000000,0.851032,0.525114,4.899200,0.589296,0.309997,0.013792,0.684339,0.040564,1.000000,0.040564,2
1778052202.464455,-0.020477,-2.462136,2.000000,2.000000,0.822422,0.568877,4.898263,0.625196,0.260088,0.014554,0.662137,0.037622,1.000000,0.037622,2
1778052202.664482,-0.022302,-2.458926,2.000000,2.000000,0.852458,0.522796,4.896093,0.612875,0.277249,0.014157,0.681839,0.224680,1.000000,0.224680,2
1778052202.864442,-0.021842,-2.458966,2.000000,2.000000,0.909872,0.414890,4.895940,0.552130,0.361452,0.013249,0.263416,0.226431,1.000000,0.226431,2
1778052203.064631,-0.021381,-2.459318,2.000000,2.000000,0.932859,0.360243,4.896070,0.512543,0.416549,0.012467,0.255820,0.225909,1.000000,0.225909,2
1778052203.264481,-0.017571,-2.461659,2.000000,2.000000,0.922718,0.385475,4.896631,0.521070,0.404701,0.012624,0.256999,0.224887,1.000000,0.224887,2
1778052203.464563,-0.017506,-2.462248,2.000000,2.000000,0.870123,0.492835,4.897141,0.579109,0.324053,0.013623,0.276413,0.044231,1.000000,0.044231,2
